"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Verifies that the Telegram Bot API is accessible and can send documents.
    This acts as a 'Canary' test for our Disaster Recovery alerting channel.
    ","452","test_telegram_connection","tests","Tue May 12 05:28:42 UTC 2026","passed","Tue May 12 05:28:43 UTC 2026","","test_telegram_api","",""
"Ensures that the Uncomplicated Firewall (UFW) is active and protecting the node.","245","Audit: Firewall (UFW) Status","tests","Tue May 12 05:28:36 UTC 2026","passed","Tue May 12 05:28:36 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        REQ-004: OS Standardization (Ubuntu/Debian).
        Logic: Verify that the server runs a supported Linux distribution.
        This prevents 'configuration drift' where servers become too different to manage.
        ","1558","test_os_version[NL-AMS]","tests","Tue May 12 05:27:56 UTC 2026","passed","Tue May 12 05:27:57 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        REQ-001: SSH Root Login must be disabled.
        Logic: Check /etc/ssh/sshd_config for 'PermitRootLogin no'.
        (Marked as xfail: Currently we use root user for automation, architectural exception).
        ","178","test_ssh_root_login_disabled[NL-AMS]","tests","Tue May 12 05:28:14 UTC 2026","skipped","Tue May 12 05:28:14 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        Verifies that the server is reachable and accepting SSH commands.
        This is the foundation for all other infrastructure tests.
        ","257","Smoke Test: SSH Connectivity","tests","Tue May 12 05:28:32 UTC 2026","passed","Tue May 12 05:28:32 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        REQ-002: Firewall (UFW) must be active.
        Logic: We check the command output 'ufw status' explicitly.
        We expect to see 'Status: active'. This covers both Ubuntu and Debian correctly,
        avoiding false negatives from systemd service status.
        ","229","test_firewall_status[NL-AMS]","tests","Tue May 12 05:28:06 UTC 2026","passed","Tue May 12 05:28:06 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        REQ-001: SSH Root Login must be disabled.
        Logic: Check /etc/ssh/sshd_config for 'PermitRootLogin no'.
        (Marked as xfail: Currently we use root user for automation, architectural exception).
        ","199","test_ssh_root_login_disabled[DE-DUS]","tests","Tue May 12 05:28:14 UTC 2026","skipped","Tue May 12 05:28:15 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        Measures the Round-Trip Time (RTT) from the local machine to the server.
        Ensures that latency is within acceptable limits for a stable VPN connection.
        ","0","Network: Latency and Packet Loss (Client to Server)","tests","Tue May 12 05:28:15 UTC 2026","skipped","Tue May 12 05:28:15 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"
        REQ-001: SSH Root Login must be disabled.
        Logic: Check /etc/ssh/sshd_config for 'PermitRootLogin no'.
        (Marked as xfail: Currently we use root user for automation, architectural exception).
        ","212","test_ssh_root_login_disabled[AT-VIE]","tests","Tue May 12 05:28:14 UTC 2026","skipped","Tue May 12 05:28:14 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        REQ-003: Intrusion Prevention System (Fail2Ban).
        Self-Healing 2.0: Install if missing, AND restart if stopped/crashed.
        ","1978","test_fail2ban_status[RU-MOW]","tests","Tue May 12 05:28:10 UTC 2026","passed","Tue May 12 05:28:12 UTC 2026","TestSecurityRules","test_audit_rules","",""
