"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        REQ-003: Intrusion Prevention System (Fail2Ban).
        Self-Healing 2.0: Install if missing, AND restart if stopped/crashed.
        ","10011","test_fail2ban_status[RU-MOW]","tests","Sun May 03 05:19:36 UTC 2026","broken","Sun May 03 05:19:46 UTC 2026","TestSecurityRules","test_audit_rules","",""
"Ensures that the Uncomplicated Firewall (UFW) is active and protecting the node.","274","Audit: Firewall (UFW) Status","tests","Sun May 03 05:21:26 UTC 2026","passed","Sun May 03 05:21:26 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        REQ-002: Firewall (UFW) must be active.
        Logic: We check the command output 'ufw status' explicitly.
        We expect to see 'Status: active'. This covers both Ubuntu and Debian correctly,
        avoiding false negatives from systemd service status.
        ","10003","test_firewall_status[RU-MOW]","tests","Sun May 03 05:19:22 UTC 2026","broken","Sun May 03 05:19:32 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        REQ-004: OS Standardization (Ubuntu/Debian).
        Logic: Verify that the server runs a supported Linux distribution.
        This prevents 'configuration drift' where servers become too different to manage.
        ","2027","test_os_version[NL-AMS]","tests","Sun May 03 05:19:01 UTC 2026","passed","Sun May 03 05:19:03 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        Measures the Round-Trip Time (RTT) from the local machine to the server.
        Ensures that latency is within acceptable limits for a stable VPN connection.
        ","0","Network: Latency and Packet Loss (Client to Server)","tests","Sun May 03 05:19:59 UTC 2026","skipped","Sun May 03 05:19:59 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"
        Verifies that the server is reachable and accepting SSH commands.
        This is the foundation for all other infrastructure tests.
        ","231","Smoke Test: SSH Connectivity","tests","Sun May 03 05:21:02 UTC 2026","passed","Sun May 03 05:21:02 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        Verifies the server's internet bandwidth by downloading a test file from a Global CDN.
        This simulates real-world heavy usage (e.g., 4K video streaming).
        ","1416","Network: Download Speed via Global CDN","tests","Sun May 03 05:19:59 UTC 2026","passed","Sun May 03 05:20:00 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"
        REQ-003: Intrusion Prevention System (Fail2Ban).
        Self-Healing 2.0: Install if missing, AND restart if stopped/crashed.
        ","1762","test_fail2ban_status[AT-VIE]","tests","Sun May 03 05:19:34 UTC 2026","passed","Sun May 03 05:19:36 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        REQ-001: SSH Root Login must be disabled.
        Logic: Check /etc/ssh/sshd_config for 'PermitRootLogin no'.
        (Marked as xfail: Currently we use root user for automation, architectural exception).
        ","10010","test_ssh_root_login_disabled[RU-MOW]","tests","Sun May 03 05:19:49 UTC 2026","skipped","Sun May 03 05:19:59 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        Measures the Round-Trip Time (RTT) from the local machine to the server.
        Ensures that latency is within acceptable limits for a stable VPN connection.
        ","0","Network: Latency and Packet Loss (Client to Server)","tests","Sun May 03 05:19:59 UTC 2026","skipped","Sun May 03 05:19:59 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"
        REQ-001: SSH Root Login must be disabled.
        Logic: Check /etc/ssh/sshd_config for 'PermitRootLogin no'.
        (Marked as xfail: Currently we use root user for automation, architectural exception).
        ","225","test_ssh_root_login_disabled[DE-DUS]","tests","Sun May 03 05:19:59 UTC 2026","skipped","Sun May 03 05:19:59 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
    Verifies that the Telegram Bot API is accessible and can send documents.
    This acts as a 'Canary' test for our Disaster Recovery alerting channel.
    ","489","test_telegram_connection","tests","Sun May 03 05:22:11 UTC 2026","passed","Sun May 03 05:22:11 UTC 2026","","test_telegram_api","",""
"Ensures that the Uncomplicated Firewall (UFW) is active and protecting the node.","330","Audit: Firewall (UFW) Status","tests","Sun May 03 05:21:46 UTC 2026","passed","Sun May 03 05:21:46 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        Verifies that the server is reachable and accepting SSH commands.
        This is the foundation for all other infrastructure tests.
        ","233","Smoke Test: SSH Connectivity","tests","Sun May 03 05:20:42 UTC 2026","passed","Sun May 03 05:20:42 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        Verifies the server's internet bandwidth by downloading a test file from a Global CDN.
        This simulates real-world heavy usage (e.g., 4K video streaming).
        ","12792","Network: Download Speed via Global CDN","tests","Sun May 03 05:20:00 UTC 2026","passed","Sun May 03 05:20:13 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"
        Verifies the server's internet bandwidth by downloading a test file from a Global CDN.
        This simulates real-world heavy usage (e.g., 4K video streaming).
        ","8444","Network: Download Speed via Global CDN","tests","Sun May 03 05:20:33 UTC 2026","passed","Sun May 03 05:20:42 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
