"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Verifies that the server is reachable and accepting SSH commands.
        This is the foundation for all other infrastructure tests.
        ","20020","Smoke Test: SSH Connectivity","tests","2026-09-12","broken","2026-09-12","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        REQ-004: OS Standardization (Ubuntu/Debian).
        Logic: Verify that the server runs a supported Linux distribution.
        This prevents 'configuration drift' where servers become too different to manage.
        ","8536","test_os_version[AT-VIE]","tests","2026-09-12","broken","2026-09-12","TestSecurityRules","test_audit_rules","",""
"
        Verifies the server's internet bandwidth by downloading a test file from a Global CDN.
        This simulates real-world heavy usage (e.g., 4K video streaming).
        ","8612","Network: Download Speed via Global CDN","tests","2026-09-12","broken","2026-09-12","TestNetworkPerformance","Network Performance & Capacity","",""
"
        REQ-003: Intrusion Prevention System (Fail2Ban).
        Self-Healing 2.0: Install if missing, AND restart if stopped/crashed.
        ","10011","test_fail2ban_status[DE-DUS]","tests","2026-09-12","broken","2026-09-12","TestSecurityRules","test_audit_rules","",""
"
        Verifies the server's internet bandwidth by downloading a test file from a Global CDN.
        This simulates real-world heavy usage (e.g., 4K video streaming).
        ","20021","Network: Download Speed via Global CDN","tests","2026-09-12","broken","2026-09-12","TestNetworkPerformance","Network Performance & Capacity","",""
"
        Measures the Round-Trip Time (RTT) from the local machine to the server.
        Ensures that latency is within acceptable limits for a stable VPN connection.
        ","0","Network: Latency and Packet Loss (Client to Server)","tests","2026-09-12","skipped","2026-09-12","TestNetworkPerformance","Network Performance & Capacity","",""
"
        REQ-003: Intrusion Prevention System (Fail2Ban).
        Self-Healing 2.0: Install if missing, AND restart if stopped/crashed.
        ","10007","test_fail2ban_status[NL-AMS]","tests","2026-09-12","broken","2026-09-12","TestSecurityRules","test_audit_rules","",""
"
        REQ-001: SSH Root Login must be disabled.
        Logic: Check /etc/ssh/sshd_config for 'PermitRootLogin no'.
        (Marked as xfail: Currently we use root user for automation, architectural exception).
        ","10010","test_ssh_root_login_disabled[DE-DUS]","tests","2026-09-12","skipped","2026-09-12","TestSecurityRules","test_audit_rules","",""
"Standardization check: Ensures the node runs a supported Linux version.","8635","Audit: OS Distribution Compliance","tests","2026-09-12","broken","2026-09-12","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        Verifies Fail2Ban service.
        If it is missing or stopped, the test attempts to fix the system automatically.
        ","20020","Audit: Fail2Ban Service with Self-Healing","tests","2026-09-12","broken","2026-09-12","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        REQ-003: Intrusion Prevention System (Fail2Ban).
        Self-Healing 2.0: Install if missing, AND restart if stopped/crashed.
        ","2059","test_fail2ban_status[RU-MOW]","tests","2026-09-12","passed","2026-09-12","TestSecurityRules","test_audit_rules","",""
"
        REQ-002: Firewall (UFW) must be active.
        Logic: We check the command output 'ufw status' explicitly.
        We expect to see 'Status: active'. This covers both Ubuntu and Debian correctly,
        avoiding false negatives from systemd service status.
        ","10010","test_firewall_status[DE-DUS]","tests","2026-09-12","broken","2026-09-12","TestSecurityRules","test_audit_rules","",""
