"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        REQ-002: Firewall (UFW) must be active.
        Logic: We check the command output 'ufw status' explicitly.
        We expect to see 'Status: active'. This covers both Ubuntu and Debian correctly,
        avoiding false negatives from systemd service status.
        ","320","test_firewall_status[NL-AMS]","tests","Fri Apr 17 04:39:07 UTC 2026","passed","Fri Apr 17 04:39:07 UTC 2026","TestSecurityRules","test_audit_rules","",""
"Standardization check: Ensures the node runs a supported Linux version.","1274","Audit: OS Distribution Compliance","tests","Fri Apr 17 04:39:39 UTC 2026","passed","Fri Apr 17 04:39:40 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        Measures the Round-Trip Time (RTT) from the local machine to the server.
        Ensures that latency is within acceptable limits for a stable VPN connection.
        ","0","Network: Latency and Packet Loss (Client to Server)","tests","Fri Apr 17 04:39:19 UTC 2026","skipped","Fri Apr 17 04:39:19 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"
        Measures the Round-Trip Time (RTT) from the local machine to the server.
        Ensures that latency is within acceptable limits for a stable VPN connection.
        ","0","Network: Latency and Packet Loss (Client to Server)","tests","Fri Apr 17 04:39:19 UTC 2026","skipped","Fri Apr 17 04:39:19 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"Ensures that the Uncomplicated Firewall (UFW) is active and protecting the node.","444","Audit: Firewall (UFW) Status","tests","Fri Apr 17 04:39:44 UTC 2026","passed","Fri Apr 17 04:39:45 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"Standardization check: Ensures the node runs a supported Linux version.","1446","Audit: OS Distribution Compliance","tests","Fri Apr 17 04:39:40 UTC 2026","passed","Fri Apr 17 04:39:42 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        REQ-002: Firewall (UFW) must be active.
        Logic: We check the command output 'ufw status' explicitly.
        We expect to see 'Status: active'. This covers both Ubuntu and Debian correctly,
        avoiding false negatives from systemd service status.
        ","329","test_firewall_status[AT-VIE]","tests","Fri Apr 17 04:39:07 UTC 2026","passed","Fri Apr 17 04:39:08 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        Measures the Round-Trip Time (RTT) from the local machine to the server.
        Ensures that latency is within acceptable limits for a stable VPN connection.
        ","0","Network: Latency and Packet Loss (Client to Server)","tests","Fri Apr 17 04:39:19 UTC 2026","skipped","Fri Apr 17 04:39:19 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"
        Verifies the server's internet bandwidth by downloading a test file from a Global CDN.
        This simulates real-world heavy usage (e.g., 4K video streaming).
        ","3161","Network: Download Speed via Global CDN","tests","Fri Apr 17 04:39:27 UTC 2026","passed","Fri Apr 17 04:39:31 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"Ensures that the Uncomplicated Firewall (UFW) is active and protecting the node.","342","Audit: Firewall (UFW) Status","tests","Fri Apr 17 04:39:44 UTC 2026","failed","Fri Apr 17 04:39:44 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
