"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Standardization check: Ensures the node runs a supported Linux version.","1322","Audit: OS Distribution Compliance","tests","Sun Mar 22 04:08:53 UTC 2026","passed","Sun Mar 22 04:08:54 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"Standardization check: Ensures the node runs a supported Linux version.","1693","Audit: OS Distribution Compliance","tests","Sun Mar 22 04:08:51 UTC 2026","passed","Sun Mar 22 04:08:53 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"Ensures that the Uncomplicated Firewall (UFW) is active and protecting the node.","366","Audit: Firewall (UFW) Status","tests","Sun Mar 22 04:08:55 UTC 2026","passed","Sun Mar 22 04:08:55 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        REQ-001: SSH Root Login must be disabled.
        Logic: Check /etc/ssh/sshd_config for 'PermitRootLogin no'.
        (Marked as xfail: Currently we use root user for automation, architectural exception).
        ","321","test_ssh_root_login_disabled[NL-AMS]","tests","Sun Mar 22 04:08:32 UTC 2026","skipped","Sun Mar 22 04:08:32 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        REQ-004: OS Standardization (Ubuntu/Debian).
        Logic: Verify that the server runs a supported Linux distribution.
        This prevents 'configuration drift' where servers become too different to manage.
        ","4534","test_os_version[DE-DUS]","tests","Sun Mar 22 04:08:15 UTC 2026","passed","Sun Mar 22 04:08:20 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        Measures the Round-Trip Time (RTT) from the local machine to the server.
        Ensures that latency is within acceptable limits for a stable VPN connection.
        ","0","Network: Latency and Packet Loss (Client to Server)","tests","Sun Mar 22 04:08:33 UTC 2026","skipped","Sun Mar 22 04:08:33 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"
        Verifies Fail2Ban service.
        If it is missing or stopped, the test attempts to fix the system automatically.
        ","1845","Audit: Fail2Ban Service with Self-Healing","tests","Sun Mar 22 04:09:02 UTC 2026","passed","Sun Mar 22 04:09:04 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"Ensures that the Uncomplicated Firewall (UFW) is active and protecting the node.","355","Audit: Firewall (UFW) Status","tests","Sun Mar 22 04:08:54 UTC 2026","passed","Sun Mar 22 04:08:55 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"Ensures that the Uncomplicated Firewall (UFW) is active and protecting the node.","516","Audit: Firewall (UFW) Status","tests","Sun Mar 22 04:08:55 UTC 2026","passed","Sun Mar 22 04:08:56 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"Standardization check: Ensures the node runs a supported Linux version.","1327","Audit: OS Distribution Compliance","tests","Sun Mar 22 04:08:50 UTC 2026","passed","Sun Mar 22 04:08:51 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
