"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Ensures that the Uncomplicated Firewall (UFW) is active and protecting the node.","278","Audit: Firewall (UFW) Status","tests","Fri May 01 05:31:59 UTC 2026","passed","Fri May 01 05:31:59 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        Verifies that the server is reachable and accepting SSH commands.
        This is the foundation for all other infrastructure tests.
        ","296","Smoke Test: SSH Connectivity","tests","Fri May 01 05:31:54 UTC 2026","passed","Fri May 01 05:31:55 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"Ensures that the Uncomplicated Firewall (UFW) is active and protecting the node.","292","Audit: Firewall (UFW) Status","tests","Fri May 01 05:32:00 UTC 2026","failed","Fri May 01 05:32:00 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        REQ-003: Intrusion Prevention System (Fail2Ban).
        Self-Healing 2.0: Install if missing, AND restart if stopped/crashed.
        ","1754","test_fail2ban_status[AT-VIE]","tests","Fri May 01 05:31:33 UTC 2026","passed","Fri May 01 05:31:34 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        REQ-004: OS Standardization (Ubuntu/Debian).
        Logic: Verify that the server runs a supported Linux distribution.
        This prevents 'configuration drift' where servers become too different to manage.
        ","2440","test_os_version[AT-VIE]","tests","Fri May 01 05:31:19 UTC 2026","passed","Fri May 01 05:31:21 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        REQ-004: OS Standardization (Ubuntu/Debian).
        Logic: Verify that the server runs a supported Linux distribution.
        This prevents 'configuration drift' where servers become too different to manage.
        ","5232","test_os_version[DE-DUS]","tests","Fri May 01 05:31:24 UTC 2026","passed","Fri May 01 05:31:29 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
    Verifies that the Telegram Bot API is accessible and can send documents.
    This acts as a 'Canary' test for our Disaster Recovery alerting channel.
    ","424","test_telegram_connection","tests","Fri May 01 05:32:06 UTC 2026","passed","Fri May 01 05:32:07 UTC 2026","","test_telegram_api","",""
"Standardization check: Ensures the node runs a supported Linux version.","928","Audit: OS Distribution Compliance","tests","Fri May 01 05:31:55 UTC 2026","passed","Fri May 01 05:31:56 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"Standardization check: Ensures the node runs a supported Linux version.","982","Audit: OS Distribution Compliance","tests","Fri May 01 05:31:56 UTC 2026","passed","Fri May 01 05:31:57 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        REQ-003: Intrusion Prevention System (Fail2Ban).
        Self-Healing 2.0: Install if missing, AND restart if stopped/crashed.
        ","2124","test_fail2ban_status[RU-MOW]","tests","Fri May 01 05:31:34 UTC 2026","passed","Fri May 01 05:31:37 UTC 2026","TestSecurityRules","test_audit_rules","",""
