"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Verifies Fail2Ban service.
        If it is missing or stopped, the test attempts to fix the system automatically.
        ","1854","Audit: Fail2Ban Service with Self-Healing","tests","Mon May 18 06:02:05 UTC 2026","passed","Mon May 18 06:02:07 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        REQ-004: OS Standardization (Ubuntu/Debian).
        Logic: Verify that the server runs a supported Linux distribution.
        This prevents 'configuration drift' where servers become too different to manage.
        ","2995","test_os_version[NL-AMS]","tests","Mon May 18 06:01:11 UTC 2026","passed","Mon May 18 06:01:14 UTC 2026","TestSecurityRules","test_audit_rules","",""
"Standardization check: Ensures the node runs a supported Linux version.","1673","Audit: OS Distribution Compliance","tests","Mon May 18 06:02:00 UTC 2026","passed","Mon May 18 06:02:02 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        REQ-003: Intrusion Prevention System (Fail2Ban).
        Self-Healing 2.0: Install if missing, AND restart if stopped/crashed.
        ","2363","test_fail2ban_status[AT-VIE]","tests","Mon May 18 06:01:31 UTC 2026","passed","Mon May 18 06:01:33 UTC 2026","TestSecurityRules","test_audit_rules","",""
"Ensures that the Uncomplicated Firewall (UFW) is active and protecting the node.","375","Audit: Firewall (UFW) Status","tests","Mon May 18 06:02:04 UTC 2026","passed","Mon May 18 06:02:04 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        REQ-002: Firewall (UFW) must be active.
        Logic: We check the command output 'ufw status' explicitly.
        We expect to see 'Status: active'. This covers both Ubuntu and Debian correctly,
        avoiding false negatives from systemd service status.
        ","375","test_firewall_status[RU-MOW]","tests","Mon May 18 06:01:27 UTC 2026","failed","Mon May 18 06:01:28 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        Verifies Fail2Ban service.
        If it is missing or stopped, the test attempts to fix the system automatically.
        ","1836","Audit: Fail2Ban Service with Self-Healing","tests","Mon May 18 06:02:11 UTC 2026","passed","Mon May 18 06:02:13 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        Verifies that the server is reachable and accepting SSH commands.
        This is the foundation for all other infrastructure tests.
        ","313","Smoke Test: SSH Connectivity","tests","Mon May 18 06:01:57 UTC 2026","passed","Mon May 18 06:01:57 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        Measures the Round-Trip Time (RTT) from the local machine to the server.
        Ensures that latency is within acceptable limits for a stable VPN connection.
        ","0","Network: Latency and Packet Loss (Client to Server)","tests","Mon May 18 06:01:40 UTC 2026","skipped","Mon May 18 06:01:40 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"
        REQ-004: OS Standardization (Ubuntu/Debian).
        Logic: Verify that the server runs a supported Linux distribution.
        This prevents 'configuration drift' where servers become too different to manage.
        ","6578","test_os_version[DE-DUS]","tests","Mon May 18 06:01:20 UTC 2026","passed","Mon May 18 06:01:27 UTC 2026","TestSecurityRules","test_audit_rules","",""
"Ensures that the Uncomplicated Firewall (UFW) is active and protecting the node.","399","Audit: Firewall (UFW) Status","tests","Mon May 18 06:02:04 UTC 2026","failed","Mon May 18 06:02:05 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        REQ-003: Intrusion Prevention System (Fail2Ban).
        Self-Healing 2.0: Install if missing, AND restart if stopped/crashed.
        ","2814","test_fail2ban_status[RU-MOW]","tests","Mon May 18 06:01:33 UTC 2026","passed","Mon May 18 06:01:36 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        REQ-004: OS Standardization (Ubuntu/Debian).
        Logic: Verify that the server runs a supported Linux distribution.
        This prevents 'configuration drift' where servers become too different to manage.
        ","3147","test_os_version[AT-VIE]","tests","Mon May 18 06:01:14 UTC 2026","passed","Mon May 18 06:01:17 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        Verifies that the server is reachable and accepting SSH commands.
        This is the foundation for all other infrastructure tests.
        ","401","Smoke Test: SSH Connectivity","tests","Mon May 18 06:01:57 UTC 2026","passed","Mon May 18 06:01:57 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
    Verifies that the Telegram Bot API is accessible and can send documents.
    This acts as a 'Canary' test for our Disaster Recovery alerting channel.
    ","564","test_telegram_connection","tests","Mon May 18 06:02:13 UTC 2026","passed","Mon May 18 06:02:14 UTC 2026","","test_telegram_api","",""
"
        REQ-002: Firewall (UFW) must be active.
        Logic: We check the command output 'ufw status' explicitly.
        We expect to see 'Status: active'. This covers both Ubuntu and Debian correctly,
        avoiding false negatives from systemd service status.
        ","365","test_firewall_status[AT-VIE]","tests","Mon May 18 06:01:27 UTC 2026","passed","Mon May 18 06:01:27 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        REQ-001: SSH Root Login must be disabled.
        Logic: Check /etc/ssh/sshd_config for 'PermitRootLogin no'.
        (Marked as xfail: Currently we use root user for automation, architectural exception).
        ","309","test_ssh_root_login_disabled[DE-DUS]","tests","Mon May 18 06:01:40 UTC 2026","skipped","Mon May 18 06:01:40 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        Verifies that the server is reachable and accepting SSH commands.
        This is the foundation for all other infrastructure tests.
        ","329","Smoke Test: SSH Connectivity","tests","Mon May 18 06:01:56 UTC 2026","passed","Mon May 18 06:01:57 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"Ensures that the Uncomplicated Firewall (UFW) is active and protecting the node.","357","Audit: Firewall (UFW) Status","tests","Mon May 18 06:02:04 UTC 2026","passed","Mon May 18 06:02:04 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        Verifies Fail2Ban service.
        If it is missing or stopped, the test attempts to fix the system automatically.
        ","2331","Audit: Fail2Ban Service with Self-Healing","tests","Mon May 18 06:02:09 UTC 2026","passed","Mon May 18 06:02:11 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        Verifies the server's internet bandwidth by downloading a test file from a Global CDN.
        This simulates real-world heavy usage (e.g., 4K video streaming).
        ","4079","Network: Download Speed via Global CDN","tests","Mon May 18 06:01:42 UTC 2026","passed","Mon May 18 06:01:46 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"Ensures that the Uncomplicated Firewall (UFW) is active and protecting the node.","420","Audit: Firewall (UFW) Status","tests","Mon May 18 06:02:05 UTC 2026","passed","Mon May 18 06:02:05 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        Measures the Round-Trip Time (RTT) from the local machine to the server.
        Ensures that latency is within acceptable limits for a stable VPN connection.
        ","0","Network: Latency and Packet Loss (Client to Server)","tests","Mon May 18 06:01:40 UTC 2026","skipped","Mon May 18 06:01:40 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"
        Measures the Round-Trip Time (RTT) from the local machine to the server.
        Ensures that latency is within acceptable limits for a stable VPN connection.
        ","0","Network: Latency and Packet Loss (Client to Server)","tests","Mon May 18 06:01:40 UTC 2026","skipped","Mon May 18 06:01:40 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"
        Verifies the server's internet bandwidth by downloading a test file from a Global CDN.
        This simulates real-world heavy usage (e.g., 4K video streaming).
        ","1822","Network: Download Speed via Global CDN","tests","Mon May 18 06:01:40 UTC 2026","passed","Mon May 18 06:01:42 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"
        REQ-003: Intrusion Prevention System (Fail2Ban).
        Self-Healing 2.0: Install if missing, AND restart if stopped/crashed.
        ","2391","test_fail2ban_status[DE-DUS]","tests","Mon May 18 06:01:36 UTC 2026","passed","Mon May 18 06:01:39 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        REQ-002: Firewall (UFW) must be active.
        Logic: We check the command output 'ufw status' explicitly.
        We expect to see 'Status: active'. This covers both Ubuntu and Debian correctly,
        avoiding false negatives from systemd service status.
        ","410","test_firewall_status[NL-AMS]","tests","Mon May 18 06:01:27 UTC 2026","passed","Mon May 18 06:01:27 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        Verifies Fail2Ban service.
        If it is missing or stopped, the test attempts to fix the system automatically.
        ","1865","Audit: Fail2Ban Service with Self-Healing","tests","Mon May 18 06:02:07 UTC 2026","passed","Mon May 18 06:02:09 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        Verifies the server's internet bandwidth by downloading a test file from a Global CDN.
        This simulates real-world heavy usage (e.g., 4K video streaming).
        ","3484","Network: Download Speed via Global CDN","tests","Mon May 18 06:01:46 UTC 2026","passed","Mon May 18 06:01:49 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"
        REQ-001: SSH Root Login must be disabled.
        Logic: Check /etc/ssh/sshd_config for 'PermitRootLogin no'.
        (Marked as xfail: Currently we use root user for automation, architectural exception).
        ","350","test_ssh_root_login_disabled[NL-AMS]","tests","Mon May 18 06:01:39 UTC 2026","skipped","Mon May 18 06:01:39 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        REQ-004: OS Standardization (Ubuntu/Debian).
        Logic: Verify that the server runs a supported Linux distribution.
        This prevents 'configuration drift' where servers become too different to manage.
        ","3198","test_os_version[RU-MOW]","tests","Mon May 18 06:01:17 UTC 2026","passed","Mon May 18 06:01:20 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        REQ-001: SSH Root Login must be disabled.
        Logic: Check /etc/ssh/sshd_config for 'PermitRootLogin no'.
        (Marked as xfail: Currently we use root user for automation, architectural exception).
        ","313","test_ssh_root_login_disabled[AT-VIE]","tests","Mon May 18 06:01:39 UTC 2026","skipped","Mon May 18 06:01:39 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        REQ-003: Intrusion Prevention System (Fail2Ban).
        Self-Healing 2.0: Install if missing, AND restart if stopped/crashed.
        ","2552","test_fail2ban_status[NL-AMS]","tests","Mon May 18 06:01:28 UTC 2026","passed","Mon May 18 06:01:31 UTC 2026","TestSecurityRules","test_audit_rules","",""
"Standardization check: Ensures the node runs a supported Linux version.","1328","Audit: OS Distribution Compliance","tests","Mon May 18 06:01:59 UTC 2026","passed","Mon May 18 06:02:00 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"Standardization check: Ensures the node runs a supported Linux version.","1338","Audit: OS Distribution Compliance","tests","Mon May 18 06:02:02 UTC 2026","passed","Mon May 18 06:02:04 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        Measures the Round-Trip Time (RTT) from the local machine to the server.
        Ensures that latency is within acceptable limits for a stable VPN connection.
        ","0","Network: Latency and Packet Loss (Client to Server)","tests","Mon May 18 06:01:40 UTC 2026","skipped","Mon May 18 06:01:40 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"
        REQ-001: SSH Root Login must be disabled.
        Logic: Check /etc/ssh/sshd_config for 'PermitRootLogin no'.
        (Marked as xfail: Currently we use root user for automation, architectural exception).
        ","375","test_ssh_root_login_disabled[RU-MOW]","tests","Mon May 18 06:01:39 UTC 2026","skipped","Mon May 18 06:01:40 UTC 2026","TestSecurityRules","test_audit_rules","",""
"Standardization check: Ensures the node runs a supported Linux version.","1390","Audit: OS Distribution Compliance","tests","Mon May 18 06:01:58 UTC 2026","passed","Mon May 18 06:01:59 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        REQ-002: Firewall (UFW) must be active.
        Logic: We check the command output 'ufw status' explicitly.
        We expect to see 'Status: active'. This covers both Ubuntu and Debian correctly,
        avoiding false negatives from systemd service status.
        ","606","test_firewall_status[DE-DUS]","tests","Mon May 18 06:01:28 UTC 2026","passed","Mon May 18 06:01:28 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        Verifies the server's internet bandwidth by downloading a test file from a Global CDN.
        This simulates real-world heavy usage (e.g., 4K video streaming).
        ","7046","Network: Download Speed via Global CDN","tests","Mon May 18 06:01:49 UTC 2026","passed","Mon May 18 06:01:56 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"
        Verifies that the server is reachable and accepting SSH commands.
        This is the foundation for all other infrastructure tests.
        ","341","Smoke Test: SSH Connectivity","tests","Mon May 18 06:01:57 UTC 2026","passed","Mon May 18 06:01:58 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
